i,J,n
1,0,-0.96927686500217e1
2,1,0.10086655968018e2
3,-5,-0.56087911283020e-2
4,-4,0.71452738081455e-1
5,-3,-0.40710498223928
6,-2,0.14240819171444e1
7,-1,-0.43839511319450e1
8,2,-0.28408632460772
9,3,0.21268463753307e-1
