,Date,Match,Result,Score,Competition,manager
73,2017-11-18,Leicester City v Manchester City,W,0-2,Premier League,Pep Guardiola
74,2017-11-21,Manchester City v Feyenoord,W,1-0,UEFA Champions League,Pep Guardiola
75,2017-11-26,Huddersfield Town v Manchester City,W,1-2,Premier League,Pep Guardiola
76,2017-11-29,Manchester City v Southampton,W,2-1,Premier League,Pep Guardiola
77,2017-12-03,Manchester City v West Ham United,W,2-1,Premier League,Pep Guardiola
78,2017-12-06,Shakhtar Donetsk v Manchester City,L,2-1,UEFA Champions League,Pep Guardiola
79,2017-12-10,Manchester United v Manchester City,W,1-2,Premier League,Pep Guardiola
80,2017-12-13,Swansea City v Manchester City,W,0-4,Premier League,Pep Guardiola
81,2017-12-16,Manchester City v Tottenham Hotspur,W,4-1,Premier League,Pep Guardiola
82,2017-12-19,Leicester City v Manchester City,W,1-1 (3-4),League Cup,Pep Guardiola
83,2017-12-23,Manchester City v AFC Bournemouth,W,4-0,Premier League,Pep Guardiola
84,2017-12-27,Newcastle United v Manchester City,W,0-1,Premier League,Pep Guardiola
85,2017-12-31,Crystal Palace v Manchester City,D,0-0,Premier League,Pep Guardiola
86,2018-01-02,Manchester City v Watford,W,3-1,Premier League,Pep Guardiola
87,2018-01-06,Manchester City v Burnley,W,4-1,FA Cup,Pep Guardiola
88,2018-01-09,Manchester City v Bristol City,W,2-1,League Cup,Pep Guardiola
89,2018-01-14,Liverpool v Manchester City,L,4-3,Premier League,Pep Guardiola
90,2018-01-20,Manchester City v Newcastle United,W,3-1,Premier League,Pep Guardiola
91,2018-01-23,Bristol City v Manchester City,W,2-3,League Cup,Pep Guardiola
92,2018-01-28,Cardiff City v Manchester City,W,0-2,FA Cup,Pep Guardiola
93,2018-01-31,Manchester City v West Bromwich Albion,W,3-0,Premier League,Pep Guardiola
94,2018-02-03,Burnley v Manchester City,D,1-1,Premier League,Pep Guardiola
95,2018-02-10,Manchester City v Leicester City,W,5-1,Premier League,Pep Guardiola
96,2018-02-13,FC Basel v Manchester City,W,0-4,UEFA Champions League,Pep Guardiola
97,2018-02-19,Wigan Athletic v Manchester City,L,1-0,FA Cup,Pep Guardiola
98,2018-02-25,Arsenal v Manchester City,W,0-3,League Cup,Pep Guardiola
99,2018-03-01,Arsenal v Manchester City,W,0-3,Premier League,Pep Guardiola
100,2018-03-04,Manchester City v Chelsea,W,1-0,Premier League,Pep Guardiola
101,2018-03-07,Manchester City v FC Basel,L,1-2,UEFA Champions League,Pep Guardiola
102,2018-03-12,Stoke City v Manchester City,W,0-2,Premier League,Pep Guardiola
103,2018-03-31,Everton v Manchester City,W,1-3,Premier League,Pep Guardiola
104,2018-04-04,Liverpool v Manchester City,L,3-0,UEFA Champions League,Pep Guardiola
105,2018-04-07,Manchester City v Manchester United,L,2-3,Premier League,Pep Guardiola
106,2018-04-10,Manchester City v Liverpool,L,1-2,UEFA Champions League,Pep Guardiola
107,2018-04-14,Tottenham Hotspur v Manchester City,W,1-3,Premier League,Pep Guardiola
108,2018-04-22,Manchester City v Swansea City,W,5-0,Premier League,Pep Guardiola
109,2018-04-29,West Ham United v Manchester City,W,1-4,Premier League,Pep Guardiola
110,2018-05-06,Manchester City v Huddersfield Town,D,0-0,Premier League,Pep Guardiola
111,2018-05-09,Manchester City v Brighton and Hove Albion,W,3-1,Premier League,Pep Guardiola
112,2018-05-13,Southampton v Manchester City,W,0-1,Premier League,Pep Guardiola
